DATE,PAYEMS
9/1/1997,123585
10/1/1997,123929
11/1/1997,124235
12/1/1997,124549
1/1/1998,124812
2/1/1998,125016
3/1/1998,125164
4/1/1998,125442
5/1/1998,125844
6/1/1998,126076
7/1/1998,126205
8/1/1998,126544
9/1/1998,126752
10/1/1998,126954
11/1/1998,127231
12/1/1998,127596
1/1/1999,127702
2/1/1999,128120
3/1/1999,128227
4/1/1999,128597
5/1/1999,128808
6/1/1999,129089
7/1/1999,129414
8/1/1999,129569
9/1/1999,129772
10/1/1999,130177
11/1/1999,130466
12/1/1999,130772
1/1/2000,131005
2/1/2000,131124
3/1/2000,131596
4/1/2000,131888
5/1/2000,132105
6/1/2000,132061
7/1/2000,132236
8/1/2000,132230
9/1/2000,132353
10/1/2000,132351
11/1/2000,132556
12/1/2000,132709
1/1/2001,132698
2/1/2001,132789
3/1/2001,132747
4/1/2001,132463
5/1/2001,132410
6/1/2001,132299
7/1/2001,132177
8/1/2001,132028
9/1/2001,131771
10/1/2001,131454
11/1/2001,131142
12/1/2001,130982
1/1/2002,130852
2/1/2002,130736
3/1/2002,130717
4/1/2002,130623
5/1/2002,130634
6/1/2002,130684
7/1/2002,130590
8/1/2002,130587
9/1/2002,130501
10/1/2002,130628
11/1/2002,130615
12/1/2002,130472
1/1/2003,130580
2/1/2003,130444
3/1/2003,130232
4/1/2003,130177
5/1/2003,130196
6/1/2003,130194
7/1/2003,130191
8/1/2003,130149
9/1/2003,130254
10/1/2003,130454
11/1/2003,130474
12/1/2003,130588
1/1/2004,130769
2/1/2004,130825
3/1/2004,131142
4/1/2004,131411
5/1/2004,131694
6/1/2004,131793
7/1/2004,131848
8/1/2004,131937
9/1/2004,132093
10/1/2004,132447
11/1/2004,132503
12/1/2004,132624
1/1/2005,132774
2/1/2005,133032
3/1/2005,133156
4/1/2005,133518
5/1/2005,133690
6/1/2005,133942
7/1/2005,134296
8/1/2005,134498
9/1/2005,134566
10/1/2005,134655
11/1/2005,134993
12/1/2005,135149
1/1/2006,135429
2/1/2006,135737
3/1/2006,136047
4/1/2006,136205
5/1/2006,136244
6/1/2006,136325
7/1/2006,136520
8/1/2006,136694
9/1/2006,136843
10/1/2006,136852
11/1/2006,137063
12/1/2006,137249
1/1/2007,137477
2/1/2007,137558
3/1/2007,137793
4/1/2007,137842
5/1/2007,137993
6/1/2007,138069
7/1/2007,138038
8/1/2007,138015
9/1/2007,138095
10/1/2007,138174
11/1/2007,138284
12/1/2007,138392
1/1/2008,138403
2/1/2008,138324
3/1/2008,138275
4/1/2008,138035
5/1/2008,137858
6/1/2008,137687
7/1/2008,137491
8/1/2008,137213
9/1/2008,136753
10/1/2008,136272
11/1/2008,135545
12/1/2008,134839
1/1/2009,134055
2/1/2009,133312
3/1/2009,132512
4/1/2009,131817
5/1/2009,131475
6/1/2009,131008
7/1/2009,130668
8/1/2009,130485
9/1/2009,130244
10/1/2009,130045
11/1/2009,130057
12/1/2009,129788
1/1/2010,129790
2/1/2010,129698
3/1/2010,129879
4/1/2010,130110
5/1/2010,130650
6/1/2010,130511
7/1/2010,130427
8/1/2010,130422
9/1/2010,130357
10/1/2010,130625
11/1/2010,130750
12/1/2010,130822
1/1/2011,130841
2/1/2011,131053
3/1/2011,131288
4/1/2011,131602
5/1/2011,131703
6/1/2011,131939
7/1/2011,131999
8/1/2011,132125
9/1/2011,132358
10/1/2011,132562
11/1/2011,132694
12/1/2011,132896
1/1/2012,133250
2/1/2012,133512
3/1/2012,133752
4/1/2012,133834
5/1/2012,133934
6/1/2012,134007
7/1/2012,134159
8/1/2012,134331
9/1/2012,134518
10/1/2012,134677
11/1/2012,134833
12/1/2012,135072
1/1/2013,135263
2/1/2013,135541
3/1/2013,135680
4/1/2013,135871
5/1/2013,136093
6/1/2013,136274
7/1/2013,136386
8/1/2013,136628
9/1/2013,136815
10/1/2013,137040
11/1/2013,137304
12/1/2013,137373
1/1/2014,137548
2/1/2014,137714
3/1/2014,137968
4/1/2014,138293
5/1/2014,138511
6/1/2014,138837
7/1/2014,139069
8/1/2014,139257
9/1/2014,139566
10/1/2014,139818
11/1/2014,140109
12/1/2014,140377
1/1/2015,140568
2/1/2015,140839
3/1/2015,140910
4/1/2015,141194
5/1/2015,141525
6/1/2015,141699
7/1/2015,142001
8/1/2015,142126
9/1/2015,142281
10/1/2015,142587
11/1/2015,142824
12/1/2015,143097
1/1/2016,143170
2/1/2016,143433
3/1/2016,143662
4/1/2016,143849
5/1/2016,143891
6/1/2016,144158
7/1/2016,144512
8/1/2016,144647
9/1/2016,144916
10/1/2016,145061
11/1/2016,145212
12/1/2016,145442
1/1/2017,145627
2/1/2017,145815
3/1/2017,145944
4/1/2017,146141
5/1/2017,146296
6/1/2017,146512
7/1/2017,146727
8/1/2017,146911
9/1/2017,146929
10/1/2017,147196
11/1/2017,147421
12/1/2017,147551
1/1/2018,147672
2/1/2018,148078
3/1/2018,148254
4/1/2018,148391
5/1/2018,148669
6/1/2018,148888
7/1/2018,149024
8/1/2018,149268
9/1/2018,149348
10/1/2018,149549
11/1/2018,149683
12/1/2018,149865
1/1/2019,150134
2/1/2019,150135
3/1/2019,150282
4/1/2019,150492
5/1/2019,150577
6/1/2019,150759
7/1/2019,150953
8/1/2019,151160
9/1/2019,151368
10/1/2019,151553
11/1/2019,151814
12/1/2019,151998
1/1/2020,152212
2/1/2020,152463
3/1/2020,151090
4/1/2020,130303
5/1/2020,133028
6/1/2020,137809
7/1/2020,139570
8/1/2020,141063
9/1/2020,141735
10/1/2020,142373
